Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/2017,96652,92110,CA,San Diego,San Diego,San Diego,2824,560400,0.004301075,0.013931608,0.186533983,0.081363691,0.002148659,2005-12,2005-Q4,592300,-0.053857842,2005-05
2/28/2017,60788,7747,NJ,New York,Monmouth,Matawan,2825,353700,0.003973886,0.016963772,0.034210526,0.034241187,-0.007120425,2006-07,2006-Q3,390700,-0.094701817,2005-01
2/28/2017,93046,79720,TX,Big Spring,Howard,Big Spring,2826,94300,0.00533049,0.032858708,0.054809843,,,2013-05,2013-Q2,102400,-0.079101563,
2/28/2017,58762,2453,MA,Boston,Middlesex,Waltham,2827,516800,0.007014809,0.021142067,0.113793103,0.078182462,0.029558488,2017-02,2017-Q1,516800,0,2017-02
2/28/2017,99159,97266,OR,Portland,Multnomah,Portland,2828,274100,0.005133847,0.016314423,0.140657511,0.14186528,0.029373937,2017-02,2017-Q1,274100,0,2017-02
2/28/2017,73006,34113,FL,Naples,Collier,Lely Resort,2829,277300,-0.012464387,-0.028040659,0.026656794,0.080717577,-0.020322181,2006-08,2006-Q3,355900,-0.220848553,2005-04
2/28/2017,93290,80214,CO,Denver,Jefferson,Lakewood,2830,339200,0.006826952,0.029751063,0.139402083,0.127687015,0.056757552,2017-02,2017-Q1,339200,0,2017-02
2/28/2017,66254,20164,VA,Washington,Loudoun,Sterling,2831,356700,0.007058159,0.01710864,0.024705544,0.054709106,-0.008477922,2005-11,2005-Q4,428600,-0.167755483,2004-12
2/28/2017,97804,94602,CA,San Francisco,Alameda,Oakland,2832,827100,0.007798221,0.016467986,0.043395988,0.130866256,0.024136146,2017-02,2017-Q1,827100,0,2017-02
2/28/2017,66720,21009,MD,Baltimore,Harford,Abingdon,2833,239600,-0.007045172,-0.017630176,0.000835422,0.013646544,-0.014328787,2007-01,2007-Q1,277000,-0.135018051,2005-07
2/28/2017,85957,63139,MO,St. Louis,Saint Louis City,Saint Louis,2834,148700,0.012942779,0.036959554,0.113857678,0.043126303,-0.001335133,2007-04,2007-Q2,152100,-0.022353715,2006-12
2/28/2017,79782,49506,MI,Grand Rapids,Kent,Grand Rapids,2835,198100,0.003546099,0.016418676,0.107322527,0.081809058,0.024639991,2017-02,2017-Q1,198100,0,2017-02
2/28/2017,73045,34223,FL,Punta Gorda,Charlotte,Englewood,2836,244800,0.008237232,0.031171019,0.097757848,0.093882028,-0.011673318,2005-12,2005-Q4,319700,-0.23428214,2004-12
2/28/2017,61898,10704,NY,New York,Westchester,Yonkers,2837,411600,0.000486145,0.007835455,0.031578947,0.034973813,-0.011911742,2006-12,2006-Q4,466500,-0.117684887,2004-11
2/28/2017,72459,33156,FL,Miami-Fort Lauderdale,Miami-Dade,Pinecrest,2838,757800,-0.004074123,-0.008763898,0.014865408,0.0868486,-0.001983984,2006-05,2006-Q2,784600,-0.034157533,2006-02
2/28/2017,82041,55016,MN,Minneapolis-St Paul,Washington,Cottage Grove,2839,235900,0.004257131,0.012881065,0.055008945,0.063987112,0.002536078,2017-02,2017-Q1,235900,0,2017-02
2/28/2017,60527,7011,NJ,New York,Passaic,Clifton,2840,291900,0.004127967,0.018492673,0.081511671,0.047006124,-0.028108338,2007-01,2007-Q1,388400,-0.248455201,2004-07
2/28/2017,92054,77598,TX,Houston,Harris,Houston,2841,140700,-0.007057163,-0.029655172,-0.007057163,0.051611569,0.014196924,2016-11,2016-Q4,145000,-0.029655172,2016-02
